https://www.ssa.gov/OACT/babynames/decades/names1900s.html
rank,maleName,number,femaleName,number
1,John,84590,Mary,161504
2,William,69319,Helen,69428
3,James,62170,Margaret,57920
4,George,43589,Anna,54918
5,Charles,36184,Ruth,51010
6,Robert,35849,Elizabeth,41708
7,Joseph,35173,Dorothy,39112
8,Frank,29046,Marie,37091
9,Edward,24516,Florence,36191
10,Thomas,21784,Mildred,36173
11,Henry,21772,Alice,35232
12,Walter,19997,Ethel,34868
13,Harry,17906,Lillian,32519
14,Willie,17746,Gladys,30285
15,Arthur,15408,Edna,29832
16,Albert,15318,Frances,28499
17,Clarence,13573,Rose,28106
18,Fred,13076,Annie,27748
19,Harold,12795,Grace,26926
20,Paul,12637,Bertha,24247
21,Raymond,11650,Emma,24176
22,Richard,10676,Bessie,23984
23,Roy,10632,Clara,23899
24,Joe,10466,Hazel,23802
25,Louis,10372,Irene,23656
26,Carl,9865,Gertrude,23607
27,Ralph,9298,Louise,22862
28,Earl,9251,Catherine,22007
29,Jack,9222,Martha,21750
30,Ernest,8657,Mabel,21625
31,David,8621,Pearl,20913
32,Samuel,8149,Edith,20884
33,Howard,8014,Esther,20026
34,Charlie,7928,Minnie,19715
35,Francis,7021,Myrtle,19691
36,Herbert,6957,Ida,18866
37,Lawrence,6846,Josephine,18785
38,Theodore,6490,Evelyn,18602
39,Alfred,6356,Elsie,18452
40,Andrew,6278,Eva,18357
41,Elmer,6161,Thelma,18265
42,Sam,6161,Ruby,18176
43,Eugene,5909,Agnes,17616
44,Leo,5629,Sarah,17342
45,Michael,5220,Viola,16559
46,Lee,5158,Nellie,16339
47,Herman,5064,Beatrice,16282
48,Anthony,5043,Julia,16107
49,Daniel,5036,Laura,15532
50,Leonard,5022,Lillie,15391
51,Floyd,4968,Lucille,15041
52,Donald,4633,Ella,14764
53,Kenneth,4579,Virginia,14539
54,Jesse,4559,Mattie,13837
55,Russell,4552,Pauline,13310
56,Clyde,4524,Carrie,13140
57,Oscar,4517,Alma,13092
58,Peter,4376,Jessie,12756
59,Lester,4361,Mae,12711
60,Leroy,4300,Lena,12703
61,Ray,4256,Willie,12357
62,Stanley,4156,Katherine,12105
63,Clifford,4055,Blanche,11730
64,Lewis,4042,Hattie,11717
65,Benjamin,4009,Marion,11713
66,Edwin,3961,Lucy,11020
67,Frederick,3900,Stella,11014
68,Chester,3788,Mamie,10618
69,Claude,3704,Vera,10457
70,Eddie,3695,Cora,10372
71,Cecil,3610,Fannie,10346
72,Lloyd,3507,Eleanor,10030
73,Jessie,3379,Bernice,10010
74,Martin,3346,Jennie,9988
75,Bernard,3296,Ann,9932
76,Tom,3293,Leona,9849
77,Will,3246,Beulah,9716
78,Norman,3178,Lula,9518
79,Edgar,3154,Rosa,9297
80,Harvey,3104,Ada,9121
81,Ben,3028,Ellen,8339
82,Homer,2915,Kathryn,8333
83,Luther,2866,Maggie,8289
84,Leon,2859,Doris,8252
85,Melvin,2840,Dora,8011
86,Philip,2817,Betty,7920
87,Johnnie,2781,Marguerite,7912
88,Jim,2718,Violet,7844
89,Milton,2695,Lois,7691
90,Everett,2597,Daisy,7687
91,Allen,2558,Anne,7615
92,Leslie,2531,Sadie,7461
93,Alvin,2484,Susie,7311
94,Victor,2447,Nora,7172
95,Marvin,2324,Georgia,7142
96,Stephen,2247,Maude,7142
97,Alexander,2230,Marjorie,7025
98,Jacob,2191,Opal,6791
99,Hugh,2176,Hilda,6783
100,Patrick,2141,Velma,6558
101,Virgil,2134,Emily,6423
102,Horace,2125,Theresa,6396
103,Glenn,2122,Charlotte,6194
104,Oliver,2088,Inez,6115
105,Morris,2059,Olive,6027
106,Vernon,2053,Flora,6015
107,Archie,2048,Della,5958
108,Julius,2038,Lola,5949
109,Gerald,2014,Jean,5931
110,Maurice,1981,Effie,5870
111,Sidney,1981,Nancy,5733
112,Marion,1967,Nettie,5680
113,Otis,1966,Sylvia,5559
114,Vincent,1954,May,5546
115,Guy,1913,Lottie,5482
116,Earnest,1907,Alberta,5475
117,Wilbur,1839,Eunice,5376
118,Gilbert,1822,Sallie,5306
119,Willard,1821,Katie,5304
120,Ed,1814,Genevieve,5292
121,Roosevelt,1790,Estelle,5259
122,Hubert,1771,Lydia,5242
123,Manuel,1751,Loretta,5151
124,Warren,1748,Mable,5148
125,Otto,1746,Goldie,4966
126,Alex,1745,Eula,4872
127,Ira,1714,Rosie,4828
128,Wesley,1693,Lizzie,4824
129,Curtis,1683,Vivian,4818
130,Wallace,1654,Verna,4752
131,Lonnie,1645,Ollie,4725
132,Gordon,1642,Harriet,4600
133,Isaac,1638,Lucile,4566
134,Jerry,1636,Addie,4563
135,Charley,1633,Marian,4532
136,Jose,1627,Henrietta,4514
137,Nathan,1616,Jane,4498
138,Max,1567,Lela,4473
139,Mack,1562,Essie,4467
140,Rufus,1552,Caroline,4276
141,Arnold,1546,Ora,4262
142,Irving,1524,Iva,4212
143,Percy,1517,Sara,4210
144,Bill,1513,Maria,4174
145,Dan,1499,Madeline,4080
146,Willis,1468,Rebecca,4052
147,Bennie,1438,Wilma,4012
148,Jimmie,1372,Etta,4003
149,Orville,1365,Barbara,4001
150,Sylvester,1343,Rachel,3974
151,Rudolph,1339,Kathleen,3924
152,Glen,1337,Irma,3909
153,Nicholas,1334,Christine,3901
154,Dewey,1320,Geneva,3861
155,Emil,1319,Sophie,3839
156,Roland,1316,Juanita,3837
157,Steve,1307,Nina,3743
158,Calvin,1291,Naomi,3700
159,Mike,1281,Victoria,3692
160,Johnie,1276,Amelia,3664
161,Bert,1253,Erma,3623
162,August,1245,Mollie,3475
163,Clifton,1197,Susan,3448
164,Franklin,1196,Flossie,3410
165,Matthew,1188,Ola,3410
166,Emmett,1187,Nannie,3391
167,Phillip,1161,Norma,3335
168,Wayne,1158,Sally,3294
169,Edmund,1151,Olga,3172
170,Abraham,1145,Alta,3091
171,Nathaniel,1143,Estella,3068
172,Marshall,1135,Celia,2971
173,Dave,1133,Freda,2932
174,Elbert,1131,Isabel,2926
175,Clinton,1122,Amanda,2923
176,Felix,1108,Frieda,2897
177,Alton,1102,Luella,2895
178,Ellis,1100,Matilda,2892
179,Nelson,1064,Janie,2853
180,Amos,1062,Fern,2813
181,Clayton,1057,Cecelia,2793
182,Aaron,1050,Audrey,2707
183,Perry,1047,Winifred,2689
184,Adam,1021,Elva,2677
185,Tony,1020,Ina,2667
186,Irvin,1007,Adeline,2646
187,Jake,989,Leola,2615
188,Dennis,988,Hannah,2605
189,Jerome,972,Geraldine,2589
190,Mark,972,Amy,2576
191,Cornelius,956,Allie,2574
192,Ollie,952,Miriam,2566
193,Douglas,950,Isabelle,2514
194,Pete,949,Bonnie,2496
195,Ted,942,Virgie,2466
196,Adolph,941,Sophia,2460
197,Roger,928,Cleo,2441
198,Jay,926,Jeanette,2438
199,Roscoe,916,Nell,2436
200,Juan,912,Eliza,2397
