https://www.ssa.gov/OACT/babynames/decades/names1880s.html
rank,maleName,number,femaleName,number
1,John,89950,Mary,91668
2,William,84881,Anna,38159
3,James,54056,Emma,25404
4,George,47651,Elizabeth,25006
5,Charles,46656,Margaret,21799
6,Frank,30967,Minnie,21724
7,Joseph,26292,Ida,18283
8,Henry,24139,Bertha,18263
9,Robert,24074,Clara,17717
10,Thomas,23750,Alice,17142
11,Edward,23133,Annie,17027
12,Harry,22649,Florence,16699
13,Walter,18185,Bessie,15373
14,Arthur,16180,Grace,15227
15,Fred,15602,Ethel,14866
16,Albert,14375,Sarah,14715
17,Samuel,9129,Ella,13936
18,Clarence,8760,Martha,13911
19,Louis,8275,Nellie,13761
20,David,7569,Mabel,13096
21,Joe,7097,Laura,12806
22,Charlie,7091,Carrie,12514
23,Richard,7010,Cora,11954
24,Ernest,6700,Helen,11496
25,Roy,6565,Maude,11454
26,Will,6196,Lillian,11270
27,Andrew,6053,Gertrude,11100
28,Jesse,6003,Rose,11064
29,Oscar,5982,Edna,11020
30,Willie,5906,Pearl,10903
31,Daniel,5679,Edith,10881
32,Benjamin,5407,Jennie,10220
33,Carl,5227,Hattie,10199
34,Sam,5069,Mattie,9844
35,Alfred,4837,Eva,9800
36,Earl,4830,Julia,9800
37,Peter,4656,Myrtle,9769
38,Elmer,4627,Louise,9596
39,Frederick,4603,Lillie,9467
40,Howard,4349,Jessie,9186
41,Lewis,4341,Frances,9182
42,Ralph,4269,Catherine,8915
43,Herbert,4257,Lula,8882
44,Paul,4197,Lena,8691
45,Lee,3945,Marie,8490
46,Tom,3786,Ada,8423
47,Herman,3689,Josephine,7732
48,Martin,3595,Fannie,7527
49,Jacob,3566,Lucy,7520
50,Michael,3558,Dora,7288
51,Jim,3520,Agnes,7237
52,Claude,3504,Maggie,7072
53,Ben,3449,Blanche,6925
54,Eugene,3430,Katherine,6922
55,Francis,3244,Elsie,6648
56,Grover,3184,Nora,6521
57,Raymond,3135,Mamie,6330
58,Harvey,3123,Rosa,6157
59,Clyde,3034,Stella,6130
60,Edwin,3011,Daisy,6054
61,Edgar,3006,May,5881
62,Ed,2957,Effie,5850
63,Lawrence,2919,Mae,5647
64,Bert,2808,Ellen,5402
65,Chester,2699,Nettie,5313
66,Jack,2684,Ruth,5298
67,Otto,2679,Alma,5190
68,Luther,2619,Della,5048
69,Charley,2550,Lizzie,5035
70,Guy,2489,Sadie,4915
71,Floyd,2476,Sallie,4840
72,Ira,2379,Nancy,4792
73,Ray,2371,Susie,4780
74,Hugh,2355,Maud,4201
75,Isaac,2311,Flora,4195
76,Oliver,2287,Irene,4002
77,Patrick,2285,Etta,3973
78,Homer,2213,Katie,3907
79,Theodore,2176,Lydia,3902
80,Leonard,2144,Lottie,3888
81,Leo,2098,Viola,3806
82,Alexander,2081,Caroline,3743
83,August,2012,Addie,3739
84,Harold,2001,Hazel,3644
85,Allen,1998,Georgia,3540
86,Jessie,1843,Esther,3476
87,Archie,1816,Mollie,3471
88,Philip,1741,Olive,3456
89,Stephen,1684,Willie,3397
90,Horace,1650,Harriet,3369
91,Marion,1624,Emily,3368
92,Bernard,1616,Charlotte,3311
93,Anthony,1611,Amanda,3280
94,Julius,1605,Kathryn,3276
95,Warren,1580,Lulu,3253
96,Leroy,1574,Susan,3231
97,Clifford,1552,Kate,3194
98,Eddie,1526,Nannie,3165
99,Sidney,1505,Jane,2971
100,Milton,1479,Amelia,2957
101,Leon,1475,Virginia,2948
102,Alex,1451,Mildred,2919
103,Lester,1440,Beulah,2866
104,Emil,1434,Eliza,2851
105,Dan,1402,Rebecca,2849
106,Willis,1388,Ollie,2832
107,Everett,1374,Belle,2648
108,Dave,1339,Ruby,2603
109,Leslie,1292,Pauline,2594
110,Rufus,1283,Matilda,2533
111,Alvin,1256,Theresa,2505
112,Perry,1255,Hannah,2480
113,Lloyd,1254,Henrietta,2480
114,Victor,1242,Ora,2391
115,Calvin,1236,Estella,2321
116,Harrison,1235,Leona,2151
117,Norman,1235,Augusta,2145
118,Wesley,1186,Eleanor,2136
119,Jess,1182,Rachel,2128
120,Percy,1166,Amy,2127
121,Amos,1161,Sara,2127
122,Dennis,1107,Anne,2126
